"","SURVEY","SURVEY_YEAR","SPECIES_CODE","SEX","AGE","AGEPOP","MEAN_LENGTH","STANDARD_DEVIATION"
"1","GOA",1984,30420,1,6,1678167.33333333,259.560242502635,12.8809954671627
"2","GOA",1984,30420,1,7,3316670.96676587,281.919277206237,10.1259541449269
"3","GOA",1984,30420,1,8,4223663.20807453,296.05237806092,12.732008595659
"4","GOA",1984,30420,1,9,2326084.76412612,302.992335770118,11.1618702176524
"5","GOA",1984,30420,1,10,1685581.54662698,313.030334052334,15.7394239346354
"6","GOA",1984,30420,1,11,1792919.08876812,314.99643951112,9.36354851735038
"7","GOA",1984,30420,1,12,855866.151030883,326.903771287136,14.8879421285216
"8","GOA",1984,30420,1,13,1386691.47069099,330.293298904538,16.8416718064219
"9","GOA",1984,30420,1,14,1882634.40396394,333.938439750706,19.4983257435726
"10","GOA",1984,30420,1,15,1555167.1868832,332.740504315453,24.7085016994109
"11","GOA",1984,30420,1,16,1040447.38315217,332.387829783831,13.6702114818801
"12","GOA",1984,30420,1,17,904623.523291925,341.51205535042,23.529040304134
"13","GOA",1984,30420,1,18,670232.679503106,345.715316753805,18.4867029712789
"14","GOA",1984,30420,1,20,247807.315217391,335.485138720815,4.97640838572968
"15","GOA",1984,30420,1,23,310082.9,363.207526116403,9.47163007156519
"16","GOA",1984,30420,1,24,411602.25,350.836711898441,8.58569558678934
"17","GOA",1984,30420,1,25,112342.464285714,320,0
"18","GOA",1984,30420,1,26,204771.4,370,NA
"19","GOA",1984,30420,1,27,346548.75,346.077730766595,4.88246826868833
"20","GOA",1984,30420,1,29,282707.464285714,344.104775645799,19.574238603267
"21","GOA",1984,30420,1,33,170365,360,0
"22","GOA",1984,30420,1,35,170365,360,0
"23","GOA",1984,30420,1,40,135925.75,340,0
"24","GOA",1984,30420,1,-9,3610733,217.051377102655,71.387633099102
"25","GOA",1984,30420,2,5,922421,240,0
"26","GOA",1984,30420,2,6,908756,250,0
"27","GOA",1984,30420,2,7,2607596.66666667,277.734050127896,12.9402432118417
"28","GOA",1984,30420,2,8,8150279.54812092,295.062636498292,16.6158427846058
"29","GOA",1984,30420,2,9,4924469.10228758,307.159350970581,17.0730469641544
"30","GOA",1984,30420,2,10,1651145.61429739,316.401986077391,14.0130758127129
"31","GOA",1984,30420,2,11,1182235.09395425,327.648120621309,6.60940220589808
"32","GOA",1984,30420,2,12,823360.573120915,321.791460893473,11.2261785808912
"33","GOA",1984,30420,2,13,3206474.64630719,353.324268542187,18.5352797404863
"34","GOA",1984,30420,2,14,2466900.76297386,350.53275301769,23.8989118854417
"35","GOA",1984,30420,2,15,2510926.24624183,347.613328160718,21.5936140891453
"36","GOA",1984,30420,2,16,1528503.79679739,360.927986840117,19.2355425892413
"37","GOA",1984,30420,2,17,339441.56,387.087478622241,18.7020760018574
"38","GOA",1984,30420,2,18,538425.107843137,341.60340363999,8.31970975556682
"39","GOA",1984,30420,2,19,369250.264444444,347.805185894428,14.7353633174646
"40","GOA",1984,30420,2,20,236429.222222222,350,0
"41","GOA",1984,30420,2,21,214972.6875,320,0
"42","GOA",1984,30420,2,22,628429.528333333,374.719229974015,13.2940780491108
"43","GOA",1984,30420,2,23,1727988.71833333,377.595246963953,7.79695187257403
"44","GOA",1984,30420,2,24,943308.275555556,375.441573190057,20.5555921016201
"45","GOA",1984,30420,2,25,302831.75,370,0
"46","GOA",1984,30420,2,27,320552,430,0
"47","GOA",1984,30420,2,28,229865.4,400,0
"48","GOA",1984,30420,2,29,307841.5,410,0
"49","GOA",1984,30420,2,31,260992.035,365.801551568422,4.93533333049977
"50","GOA",1984,30420,2,32,873544.333333333,404.096205000853,9.12256019936192
"51","GOA",1984,30420,2,37,257861.333333333,390,7.6924896875389e-06
"52","GOA",1984,30420,2,40,257861.333333333,390,7.6924896875389e-06
"53","GOA",1984,30420,2,41,307841.5,410,0
"54","GOA",1984,30420,2,43,229865.4,400,0
"55","GOA",1984,30420,2,-9,2645138,251.491687768275,112.167217819815
"56","GOA",1987,30420,1,3,747819,180,0
"57","GOA",1987,30420,1,4,1649236.64166667,236.968317923367,11.238694183468
"58","GOA",1987,30420,1,5,10094198.331746,248.473387758825,26.9406073126365
"59","GOA",1987,30420,1,6,4667306.65217087,273.948757043623,21.4787119140512
"60","GOA",1987,30420,1,7,4555027.44701214,297.187501832155,18.5541462291782
"61","GOA",1987,30420,1,8,637218.607142857,320,0
"62","GOA",1987,30420,1,9,3639161.67460317,296.452279102977,10.7006952652305
"63","GOA",1987,30420,1,10,6825711.3325817,312.639712248814,17.3999009808202
"64","GOA",1987,30420,1,11,12588400.5143161,320.044764911008,18.850484411376
"65","GOA",1987,30420,1,12,14454830.5139426,326.630056375084,20.537677576165
"66","GOA",1987,30420,1,13,4318163.52170868,322.717453481186,21.4710882764268
"67","GOA",1987,30420,1,14,5117225.98678571,332.259123519656,15.9097857240024
"68","GOA",1987,30420,1,15,1510603.06285714,342.816326494483,4.49795175844366
"69","GOA",1987,30420,1,16,3508782.3925,340.769915819574,17.327713774605
"70","GOA",1987,30420,1,17,13231425.965,330.079132652168,19.485786056841
"71","GOA",1987,30420,1,18,3586306.60583333,339.964177547617,16.3492324576864
"72","GOA",1987,30420,1,19,5570027.50059524,324.091827653829,19.9933149400701
"73","GOA",1987,30420,1,20,3587871.66309524,328.788603508993,18.4948601115745
"74","GOA",1987,30420,1,21,3112207.07619048,321.540285605858,17.0734714770325
"75","GOA",1987,30420,1,22,141794.433333333,377.105544575915,9.57194482840419
"76","GOA",1987,30420,1,23,571373.458333333,330,0
"77","GOA",1987,30420,1,24,571373.458333333,330,0
"78","GOA",1987,30420,1,26,1607530.20346639,321.085156172971,23.3070116994601
"79","GOA",1987,30420,1,27,4005611.81178571,323.280544618119,19.9699617336111
"80","GOA",1987,30420,1,28,728636.707142857,326.273229107443,16.5622477924238
"81","GOA",1987,30420,1,29,269455.0375,363.503159594855,11.3072656574049
"82","GOA",1987,30420,1,30,516853.242857143,353.537487720679,7.63124727941573
"83","GOA",1987,30420,1,31,1176586.02,342.330932845862,8.03086156299422
"84","GOA",1987,30420,1,33,91418.1,370,0
"85","GOA",1987,30420,1,42,245856.4375,360,0
"86","GOA",1987,30420,1,44,23598.6,400,7.78578762900596e-06
"87","GOA",1987,30420,1,-9,4433726,182.214473785705,52.8700786167994
"88","GOA",1987,30420,2,4,2366857.58928571,231.997928612776,11.4125672605702
"89","GOA",1987,30420,2,5,2311962.28571429,251.208396349273,15.7557038331486
"90","GOA",1987,30420,2,6,4443112.725,271.70476701106,14.7829568681354
"91","GOA",1987,30420,2,7,2110757.6,278.599747313476,10.7731884436453
"92","GOA",1987,30420,2,9,2842063.10678211,321.204506309362,13.0730904269292
"93","GOA",1987,30420,2,10,15914293.6621155,323.312285496096,16.2775813402602
"94","GOA",1987,30420,2,11,12632357.1930261,322.952835402728,23.2753095332693
"95","GOA",1987,30420,2,12,10647960.6134003,337.876909776793,25.7838301686795
"96","GOA",1987,30420,2,13,3410322.73444027,347.400726141749,26.926129928545
"97","GOA",1987,30420,2,14,4509278.43615522,340.252981675307,26.1234603656103
"98","GOA",1987,30420,2,15,1645471.37698413,334.720311690875,20.39734757396
"99","GOA",1987,30420,2,16,4732487.47420635,335.585187264394,20.2006735888918
"100","GOA",1987,30420,2,17,9971437.04647838,340.75757995966,25.0639833243816
"101","GOA",1987,30420,2,18,5609738.70688741,354.356743417869,22.4116766276701
"102","GOA",1987,30420,2,19,12383157.3066904,345.811957632554,21.27631890494
"103","GOA",1987,30420,2,20,2535024.16949425,351.372574377017,29.0501869510297
"104","GOA",1987,30420,2,21,2629622.23689907,347.516944595203,22.3394898804332
"105","GOA",1987,30420,2,22,1423740.98245614,357.691697786571,19.9778129909117
"106","GOA",1987,30420,2,23,893182.71031746,326.619353948196,20.4826494790646
"107","GOA",1987,30420,2,24,84461.3214285714,390,0
"108","GOA",1987,30420,2,25,880648.765567766,367.330059320694,9.63698172505091
"109","GOA",1987,30420,2,26,2306403.62531328,356.648086618235,16.5381789699493
"110","GOA",1987,30420,2,27,1802318.28884712,362.100305139268,17.0773284183983
"111","GOA",1987,30420,2,28,1977295.56265664,362.305877255162,10.3246509063161
"112","GOA",1987,30420,2,29,426108.428571429,356.382932714309,16.6854669002712
"113","GOA",1987,30420,2,33,352444.384615385,384.211160866188,13.8861141961496
"114","GOA",1987,30420,2,34,697892.238095238,340,0
"115","GOA",1987,30420,2,35,54396.4285714286,400,0
"116","GOA",1987,30420,2,-9,2791899,182.785201040582,25.9841895234844
"117","GOA",1993,30420,1,3,313708,182.394679128361,16.0521230047245
"118","GOA",1993,30420,1,4,215149.75,228.550985999287,38.7081380318962
"119","GOA",1993,30420,1,5,588921.65,248.870043239198,13.6896629127858
"120","GOA",1993,30420,1,6,881234.983333333,260.299061171709,16.3341719627051
"121","GOA",1993,30420,1,7,780672.616666667,273.968764371288,24.1953757191336
"122","GOA",1993,30420,1,8,5441273.17777778,332.467554417503,25.1558710985537
"123","GOA",1993,30420,1,9,8726082.24444445,333.760904833298,19.2772625545227
"124","GOA",1993,30420,1,10,7054159.44444444,345.312633279325,12.8595879865032
"125","GOA",1993,30420,1,11,5153565.24444445,360.626270565935,16.40119932885
"126","GOA",1993,30420,1,12,2084837.84444444,355.193369848332,4.99625941097267
"127","GOA",1993,30420,1,13,3609022.19166667,364.062010789843,16.0789102170453
"128","GOA",1993,30420,1,14,2368510.33333333,364.706031587693,15.3704151669637
"129","GOA",1993,30420,1,15,633935.125,390,0
"130","GOA",1993,30420,1,16,4298072.84444444,367.632815933144,18.0489451194333
"131","GOA",1993,30420,1,17,2690648.01388889,385.904002410985,14.3290133205755
"132","GOA",1993,30420,1,18,3691731.125,369.510210282596,25.9641417659927
"133","GOA",1993,30420,1,19,1765575.55555556,380,0
"134","GOA",1993,30420,1,21,1886148.56944444,370.074163622833,21.5938882717066
"135","GOA",1993,30420,1,22,1872286.52777778,401.349809127476,26.0776001628781
"136","GOA",1993,30420,1,23,2789545.30277778,376.554045298914,15.0809719131624
"137","GOA",1993,30420,1,24,2249193.66666667,377.260889989069,9.30634300539563
"138","GOA",1993,30420,1,25,4091383.95555556,361.663203037442,11.2993024612749
"139","GOA",1993,30420,1,26,681502.375,392.093928872955,7.64416954702467
"140","GOA",1993,30420,1,32,250109,400,0
"141","GOA",1993,30420,1,33,824024.125,394.613675600821,8.42540856379115
"142","GOA",1993,30420,1,34,250109,400,0
"143","GOA",1993,30420,1,37,190089,410,0
"144","GOA",1993,30420,1,39,2118401.33333333,360.539050097107,9.98546068004731
"145","GOA",1993,30420,1,-9,119274,440,0
"146","GOA",1993,30420,2,2,50515,184.629515985351,11.5009748233736
"147","GOA",1993,30420,2,3,112115,187.36199438077,19.517797475718
"148","GOA",1993,30420,2,4,256073.066666667,239.617585709912,14.5026834457933
"149","GOA",1993,30420,2,5,725279.55,239.637468063176,14.9234274849488
"150","GOA",1993,30420,2,6,777027.85,265.228776549,16.7483123306616
"151","GOA",1993,30420,2,7,905515.508333333,283.366379027873,17.380850494901
"152","GOA",1993,30420,2,8,4377359.88636364,323.053193670832,30.849087095241
"153","GOA",1993,30420,2,9,9774114.12626263,335.441389253662,15.7308079263308
"154","GOA",1993,30420,2,10,3027946.41136364,337.144640524408,25.3846705651976
"155","GOA",1993,30420,2,11,10715794.2815657,358.341615270971,16.8181967734743
"156","GOA",1993,30420,2,12,4759753.125,356.695467267538,25.0021866548192
"157","GOA",1993,30420,2,13,3919411.11111111,373.38460511358,13.6737777049637
"158","GOA",1993,30420,2,14,3806087,362.614703762683,4.39435568203824
"159","GOA",1993,30420,2,15,3114641.11111111,366.128543434824,18.8304912856761
"160","GOA",1993,30420,2,16,3688146.375,355.242930806942,8.51537882619399
"161","GOA",1993,30420,2,17,2130255.875,403.110184083716,10.7091100961194
"162","GOA",1993,30420,2,18,2404862.20833333,380.394604209219,28.8110916387456
"163","GOA",1993,30420,2,19,2551079.8968254,389.701214674208,33.602064626542
"164","GOA",1993,30420,2,20,618128.875,390,0
"165","GOA",1993,30420,2,21,1683732.26388889,413.109391327994,22.0752030461831
"166","GOA",1993,30420,2,22,3367442.38293651,368.985387301977,22.5843740383616
"167","GOA",1993,30420,2,23,4052833.59126984,386.411146075816,25.9776916256157
"168","GOA",1993,30420,2,24,4598257.55555556,384.741286784042,22.0361825142228
"169","GOA",1993,30420,2,25,3048520.875,398.730560011154,18.8642249776677
"170","GOA",1993,30420,2,26,375171.555555556,420,0
"171","GOA",1993,30420,2,27,2583592.33333333,391.34850394139,18.1634148177736
"172","GOA",1993,30420,2,28,3420177.44444444,363.820422312721,12.8613379369352
"173","GOA",1993,30420,2,29,877238.375,340,0
"174","GOA",1993,30420,2,31,375171.555555556,420,0
"175","GOA",1993,30420,2,32,1213241.77777778,400,0
"176","GOA",1993,30420,2,34,616464.841269841,423.914145131412,4.88066790556069
"177","GOA",1993,30420,2,35,857758.126984127,425.626138141359,4.96064018327946
"178","GOA",1993,30420,2,36,1442491.77777778,391.029551025363,14.4649761472246
"179","GOA",1993,30420,2,40,241293.285714286,430,0
"180","GOA",1993,30420,2,-9,231989,469.717271077508,9.99600241878675
"181","GOA",1990,30420,1,3,57471.8333333333,168.783317045161,22.1174803045284
"182","GOA",1990,30420,1,4,220624.130952381,209.653105338011,27.4426483474957
"183","GOA",1990,30420,1,5,2978786.71385281,249.080848198163,23.2377101707665
"184","GOA",1990,30420,1,6,4218025.41439394,262.875455227435,12.6464047838835
"185","GOA",1990,30420,1,7,2851080.00292208,276.719962741565,19.4109348109185
"186","GOA",1990,30420,1,8,3275766.06800699,318.81177710909,22.9899925205359
"187","GOA",1990,30420,1,9,3383775.72857143,324.515825962309,11.5060214507297
"188","GOA",1990,30420,1,10,904090.538461539,308.901514203351,12.5869827480804
"189","GOA",1990,30420,1,11,6653769.4032967,350.376960647813,18.582685896854
"190","GOA",1990,30420,1,12,3044441.0206044,330.668605780703,10.7837780664794
"191","GOA",1990,30420,1,13,6218926.56524725,351.700765706551,15.435241992784
"192","GOA",1990,30420,1,14,8666255.41184371,355.531665921773,18.203123631383
"193","GOA",1990,30420,1,15,10734967.8348138,354.969511983175,16.4881044379755
"194","GOA",1990,30420,1,16,3476350.8081044,349.552375938519,14.4869037605261
"195","GOA",1990,30420,1,17,4429704.81782662,360.625142184283,16.4495910081012
"196","GOA",1990,30420,1,18,681671.875,392.953184037408,4.56185756192279
"197","GOA",1990,30420,1,19,480361.625,390,0
"198","GOA",1990,30420,1,20,1708949.4125,356.970515796353,14.8700056320209
"199","GOA",1990,30420,1,21,7009612.60491453,365.757912393375,22.7226401446984
"200","GOA",1990,30420,1,22,2853032.66483516,361.318792517956,35.0667160213937
"201","GOA",1990,30420,1,23,1836207.85096154,345.957841525885,4.90739641880316
"202","GOA",1990,30420,1,25,1471077.53472222,359.818213656831,19.9991738260719
"203","GOA",1990,30420,1,26,4129866.53846154,360.880713462761,9.81362816133143
"204","GOA",1990,30420,1,27,201310.25,400,0
"205","GOA",1990,30420,1,28,1399906.25137363,348.830139362423,29.9717506868591
"206","GOA",1990,30420,1,29,277477.5,420,0
"207","GOA",1990,30420,1,30,394321,310,0
"208","GOA",1990,30420,1,31,1447086.725,376.639016400347,9.41826890903327
"209","GOA",1990,30420,1,32,201310.25,400,0
"210","GOA",1990,30420,1,33,480361.625,390,0
"211","GOA",1990,30420,1,-9,278601,434.681174870155,8.08289785318155
"212","GOA",1990,30420,2,3,40328,150,0
"213","GOA",1990,30420,2,4,65684.15,212.895942171742,8.79596422123146
"214","GOA",1990,30420,2,5,1425697.41538462,253.351248146314,19.1057939360023
"215","GOA",1990,30420,2,6,3973036.39450272,264.803855917441,17.6390601835986
"216","GOA",1990,30420,2,7,1161283.17094017,269.551269688185,15.9859310157942
"217","GOA",1990,30420,2,8,2888539.97940948,302.248342640302,24.4763160760569
"218","GOA",1990,30420,2,9,4753880.46816239,333.22368632304,15.4975940369277
"219","GOA",1990,30420,2,10,5853582.14327894,336.378126287309,24.4536584393814
"220","GOA",1990,30420,2,11,2075464.86666667,339.490458892535,14.1561667156729
"221","GOA",1990,30420,2,12,2276555.88888889,345.257508332641,16.7255189451941
"222","GOA",1990,30420,2,13,1892992.88888889,348.349023204642,16.7242020970542
"223","GOA",1990,30420,2,14,3799796.96089466,363.35205912249,29.6322069671148
"224","GOA",1990,30420,2,15,3950126.69212454,366.783203824054,17.1135169675939
"225","GOA",1990,30420,2,16,4214342.22072372,362.570150587556,22.1413402685372
"226","GOA",1990,30420,2,17,3246671.35769231,368.59354638928,16.7857523144044
"227","GOA",1990,30420,2,18,333848.888888889,410,0
"228","GOA",1990,30420,2,19,1215716.8,386.079343478679,24.7509350268511
"229","GOA",1990,30420,2,20,8208303.38443223,381.935346091364,22.7790687006167
"230","GOA",1990,30420,2,21,3018521.05079365,390.189188286511,19.6380763998847
"231","GOA",1990,30420,2,22,4067052.64126984,387.996776093653,32.4011923489672
"232","GOA",1990,30420,2,23,1061647.35555556,398.812570133405,22.0154282299407
"233","GOA",1990,30420,2,24,1352838.75769231,377.791775099743,22.5513278214639
"234","GOA",1990,30420,2,26,961578.183333333,379.052064946496,19.9775228477987
"235","GOA",1990,30420,2,27,761588.166666667,430.947951090802,9.9549680426126
"236","GOA",1990,30420,2,28,367443.2,390,0
"237","GOA",1990,30420,2,30,1082431.66666667,440.44660247991,13.9762126996482
"238","GOA",1990,30420,2,32,1166532.37857143,391.002229544385,8.21564232889171
"239","GOA",1990,30420,2,33,341087.928571429,380,0
"240","GOA",1990,30420,2,-9,168977,460,0
"241","GOA",1990,30420,3,-9,20558,105,5
"242","GOA",1996,30420,1,2,201650,124.471262087776,4.97196502604089
"243","GOA",1996,30420,1,3,118355,142.329348147522,28.3490679728583
"244","GOA",1996,30420,1,4,46185,210,0
"245","GOA",1996,30420,1,5,116874.5,216.601867815477,22.1449015168774
"246","GOA",1996,30420,1,6,1322582.75,256.855918845154,22.7755447764962
"247","GOA",1996,30420,1,7,441479.375,277.690095941628,16.4101070096687
"248","GOA",1996,30420,1,8,820690.916666667,304.030339883336,21.1780367334603
"249","GOA",1996,30420,1,9,2961262.09952381,339.385261822329,28.2582922757008
"250","GOA",1996,30420,1,10,3826530.6597619,349.941807122234,18.336099820304
"251","GOA",1996,30420,1,11,6525723.59809524,351.134194651539,19.9567495017259
"252","GOA",1996,30420,1,12,3927089.95404762,354.340997284419,16.8996371541745
"253","GOA",1996,30420,1,13,5462858.19880952,365.007053963725,23.6550652686558
"254","GOA",1996,30420,1,14,1929494.97730159,362.450896408208,18.8975831386036
"255","GOA",1996,30420,1,15,2832598.74539683,371.480158737958,12.9605569575039
"256","GOA",1996,30420,1,16,3055228.63059163,385.476773040011,10.1277328305054
"257","GOA",1996,30420,1,17,1475431.36507937,394.828577869979,6.70181337288408
"258","GOA",1996,30420,1,18,2145152.78181818,381.711818059698,12.1304253110274
"259","GOA",1996,30420,1,19,3111767.01269841,387.249621758059,10.5415846066587
"260","GOA",1996,30420,1,20,5012799.81380952,385.320130622765,15.8360721976218
"261","GOA",1996,30420,1,21,2379773.9352381,375.968504926802,12.6812992731785
"262","GOA",1996,30420,1,22,2450939.96349206,379.03129505979,18.3687776828114
"263","GOA",1996,30420,1,23,774379.857142857,401.899942423975,3.92296355136044
"264","GOA",1996,30420,1,24,721708.515151515,390.255729449407,17.6459549197707
"265","GOA",1996,30420,1,25,996118.257215007,389.737738374755,23.7849503476118
"266","GOA",1996,30420,1,26,2066564.01777778,375.206712718789,10.2502874365789
"267","GOA",1996,30420,1,27,544732.868686869,394.938113489933,11.1246770676069
"268","GOA",1996,30420,1,28,984447.852813853,392.374567106318,14.5623596856181
"269","GOA",1996,30420,1,29,1722556.57968254,383.304430998591,15.0820847424579
"270","GOA",1996,30420,1,30,150935.047619048,410.756749355446,4.70423331441376
"271","GOA",1996,30420,1,31,350109.6,370,0
"272","GOA",1996,30420,1,32,179330.181818182,420,6.52256389972952e-06
"273","GOA",1996,30420,1,33,956739.095238095,388.741528329289,9.92049641167263
"274","GOA",1996,30420,1,35,581790.087619048,374.375222408805,19.1927558482261
"275","GOA",1996,30420,1,39,209084.047619048,400,0
"276","GOA",1996,30420,1,43,147127.714285714,410,0
"277","GOA",1996,30420,1,-9,80647,174.68895309187,11.0655711929614
"278","GOA",1996,30420,2,2,108681.5,125.620091735944,4.96139962500649
"279","GOA",1996,30420,2,3,184552.5,158.868235325991,23.7996346133091
"280","GOA",1996,30420,2,4,112414,203.850321134378,4.86602902847348
"281","GOA",1996,30420,2,5,141727,220,0
"282","GOA",1996,30420,2,6,47194.5,250,0
"283","GOA",1996,30420,2,7,259714.888888889,288.064552838711,44.8955289076624
"284","GOA",1996,30420,2,8,1707727.62777778,294.350016648016,30.5019186078488
"285","GOA",1996,30420,2,9,2062877.26666667,313.993475019794,25.8907096636871
"286","GOA",1996,30420,2,10,2671742.29116162,343.903023110074,22.7380342324292
"287","GOA",1996,30420,2,11,3905423.44824204,352.927700992382,26.9254538676358
"288","GOA",1996,30420,2,12,5353540.88390637,361.182859747426,20.6965629188068
"289","GOA",1996,30420,2,13,3993494.60697758,379.477065437885,20.5236839714221
"290","GOA",1996,30420,2,14,2997244.50550699,376.237101591537,18.4380952263008
"291","GOA",1996,30420,2,15,1192463.45454545,380.716099704371,18.0867586523536
"292","GOA",1996,30420,2,16,1687145.63101604,409.236846609195,11.27266937351
"293","GOA",1996,30420,2,17,545901.176470588,410,0
"294","GOA",1996,30420,2,18,2025972.35828877,389.92463456466,18.7363589256063
"295","GOA",1996,30420,2,19,3551166.11159502,397.578006632643,17.9164763923016
"296","GOA",1996,30420,2,20,5737329.38853353,402.749785788913,29.5198576355282
"297","GOA",1996,30420,2,21,1008950.92727273,411.448313703914,13.5432363331626
"298","GOA",1996,30420,2,22,1301601.66433566,410.560999783387,26.8111447775886
"299","GOA",1996,30420,2,23,2928507.86203209,398.256929596857,21.9516674560805
"300","GOA",1996,30420,2,24,3359459.58395722,410.573912815709,24.2349418405996
"301","GOA",1996,30420,2,25,2291006.47272727,417.463119345498,15.5563962945604
"302","GOA",1996,30420,2,26,4322917.70283834,410.923379653776,18.6888701282751
"303","GOA",1996,30420,2,27,1121116.63101604,399.738526061751,9.99658098449945
"304","GOA",1996,30420,2,28,818399.363636364,392.17952271135,40.7438314842215
"305","GOA",1996,30420,2,29,1645943.23101604,413.850621923939,10.6545990037389
"306","GOA",1996,30420,2,30,542685.090909091,433.780989008191,4.84912489031507
"307","GOA",1996,30420,2,31,565860.236363636,427.252272670094,9.61509201830532
"308","GOA",1996,30420,2,32,337496.454545455,430,0
"309","GOA",1996,30420,2,33,819313.227272727,405.997477599171,23.866367782488
"310","GOA",1996,30420,2,34,913977,406.030184567008,16.2833074784639
"311","GOA",1996,30420,2,37,803748,400,0
"312","GOA",1996,30420,2,42,360671.6,420,0
"313","GOA",1996,30420,2,43,354437.8125,370,0
